prompt,intent
"How has your performance been?","performance"
"Have you made any money for me?","performance"
"What have you done while I've been gone?","actions"
"What stocks do we currently hold?","portfolio"
"What is my current ROI?","performance"
"Show me the profit and loss for today.","performance"
"How are my investments doing overall?","performance"
"What trades were made recently?","actions"
"List the latest buy and sell orders.","actions"
"Did you execute any transactions today?","actions"
"Show me a breakdown of my holdings.","portfolio"
"What assets are currently in the account?","portfolio"
"List my open positions.","portfolio"
"How much profit have you generated this month?","performance"
"Give me a summary of my account's growth.","performance"
"Is the account in the green over the last week?","performance"
"What is the percentage return for this year?","performance"
"Show me the net gain for my current portfolio.","performance"
"Are we beating the market benchmark?","performance"
"What is the total loss recorded today?","performance"
"Evaluate the performance of my trading bot.","performance"
"How much equity has been gained since inception?","performance"
"Show me the daily profit chart data.","performance"
"Has my wealth increased this quarter?","performance"
"What's the yield on my current investments?","performance"
"Am I making money overall?","performance"
"Summarize my financial gains.","performance"
"Check my historical ROI.","performance"
"How did the portfolio perform during the last session?","performance"
"Provide a breakdown of profit margins.","performance"
"What was the last stock you bought?","actions"
"Did you sell anything while the market was open?","actions"
"Show me the history of trades from this week.","actions"
"List all sell orders from today.","actions"
"Which shares did you acquire recently?","actions"
"Give me a log of the most recent activity.","actions"
"What did you trade in the morning session?","actions"
"Show the execution time of the last trade.","actions"
"Did you buy any tech stocks today?","actions"
"Tell me about the last 10 movements.","actions"
"What actions were triggered by news events?","actions"
"Show the transaction log for yesterday.","actions"
"What stocks did we exit recently?","actions"
"Review the trading activity for this hour.","actions"
"List all buy orders filled today.","actions"
"Were there any trades executed in the European markets?","actions"
"Show me the audit trail of trades.","actions"
"What is the current weight of AAPL in my portfolio?","portfolio"
"Show me the diversification level of my assets.","portfolio"
"Which stocks do I own right now?","portfolio"
"Give me a list of all tickers in the account.","portfolio"
"What is the cash balance versus stock value?","portfolio"
"Show the list of open trades.","portfolio"
"What are my biggest holdings?","portfolio"
"Do I have any positions in energy stocks?","portfolio"
"List my current stock inventory.","portfolio"
"What is the total quantity of shares held?","portfolio"
"Show me the current asset allocation.","portfolio"
"Are we holding any volatile stocks?","portfolio"
"List every company in my portfolio.","portfolio"
"Display current stock positions.","portfolio"
"Which strategy performed best?","strategy"
"What approach made us the most money?","strategy"
"Rank the strategies by profitability.","strategy"
"Which strategy has the highest win rate?","strategy"
"Compare all strategies head to head.","strategy"
"Which trading approach is most profitable?","strategy"
"Show me strategy rankings.","strategy"
"What is the best performing strategy?","strategy"
"How do the strategies compare in terms of profit?","strategy"
"Which method generates the most returns?","strategy"
"How many different tickers are we tracking in our holdings?","portfolio"
"Tell me what is in my wallet.","portfolio"
"What are my returns?","performance"
"Show me my gains and losses.","performance"
"What's my total profit so far?","performance"
"How much money have I made?","performance"
"What are my cumulative returns?","performance"
"Show me performance metrics.","performance"
"Calculate my portfolio return.","performance"
"What's the current yield?","performance"
"Show profit charts.","performance"
"Display my earnings.","performance"
"What's my account standing?","performance"
"How's the bot doing?","performance"
"Analyse my trading performance.","performance"
"Give me a P&L statement.","performance"
"Show drawdown statistics.","performance"
"What's my win rate?","performance"
"How many winning trades?","performance"
"What's my loss percentage?","performance"
"Show me risk-adjusted returns.","performance"
"What's the Sharpe ratio?","performance"
"Display cumulative profits.","performance"
"What's my best trade?","performance"
"What's my worst trade?","performance"
"Show average trade size.","performance"
"What's my exposure?","performance"
"How much am I up this month?","performance"
"Am I profitable?","performance"
"Tell me about account growth.","performance"
"What's the equity curve?","performance"
"Show me the drawdown.","performance"
"Recent transactions?","actions"
"What just happened?","actions"
"Show recent activity.","actions"
"List new orders.","actions"
"What did I trade?","actions"
"Show executed trades.","actions"
"Recent buys and sells.","actions"
"What orders ran?","actions"
"Display trade log.","actions"
"Show all executions.","actions"
"Latest trading activity.","actions"
"Recent filled orders.","actions"
"What orders were executed?","actions"
"Show today's trades.","actions"
"List this week's trades.","actions"
"What happened yesterday?","actions"
"Recent position changes.","actions"
"Show trade confirmations.","actions"
"Latest executions.","actions"
"What trades completed?","actions"
"Did we buy today?","actions"
"Did we sell today?","actions"
"Any new trades?","actions"
"Show me activity.","actions"
"What actions were taken?","actions"
"Trade history.","actions"
"Transaction history.","actions"
"Execution log.","actions"
"Recent movements.","actions"
"Show positions opened.","actions"
"Show positions closed.","actions"
"What did the bot do?","actions"
"Holdings summary.","portfolio"
"What do I own?","portfolio"
"Show my positions.","portfolio"
"Current holdings.","portfolio"
"My inventory.","portfolio"
"What's in the portfolio?","portfolio"
"List all holdings.","portfolio"
"Show asset breakdown.","portfolio"
"What tickers am I in?","portfolio"
"Display all positions.","portfolio"
"What's my exposure?","portfolio"
"Show sector allocation.","portfolio"
"Asset distribution.","portfolio"
"Portfolio composition.","portfolio"
"What shares do I have?","portfolio"
"Show all stocks.","portfolio"
"List investments.","portfolio"
"What's allocated?","portfolio"
"Show cash position.","portfolio"
"How much cash on hand?","portfolio"
"Available capital.","portfolio"
"Liquid assets.","portfolio"
"Account balance.","portfolio"
"How much money?","portfolio"
"Total value.","portfolio"
"Net worth.","portfolio"
"Total assets.","portfolio"
"What's my equity?","portfolio"
"Show positions by size.","portfolio"
"Largest holdings.","portfolio"
"Smallest holdings.","portfolio"
"Show position weights.","portfolio"
"Percentage breakdown.","portfolio"
"Concentration.","portfolio"
"Diversification status.","portfolio"
"How diversified?","portfolio"
"Any sector overlap?","portfolio"
"Stock breakdown.","portfolio"
"Position details.","portfolio"
"Holding value.","portfolio"
"Cost basis.","portfolio"
"Entry prices.","portfolio"
"Current prices.","portfolio"
"P&L by position.","portfolio"
"Strategy comparison.","strategy"
"Best strategy.","strategy"
"Strategy performance.","strategy"
"Strategy metrics.","strategy"
"Strategy analysis.","strategy"
"Strategy ranking.","strategy"
"Top strategy.","strategy"
"Winning strategy.","strategy"
"Strategy profitability.","strategy"
"Strategy returns.","strategy"
"Which strategy wins?","strategy"
"Most profitable approach.","strategy"
"Strategy effectiveness.","strategy"
"Strategy win rates.","strategy"
"Strategy success rates.","strategy"
"Compare strategies.","strategy"
"Rank all strategies.","strategy"
"Show strategy stats.","strategy"
"Strategy statistics.","strategy"
"How do approaches compare?","strategy"
"Which method is best?","strategy"
"Best trading method.","strategy"
"Most successful strategy.","strategy"
"Profitable strategies.","strategy"
"Strategy losses.","strategy"
"Strategy gains.","strategy"
"Strategy P&L.","strategy"
"Strategy performance report.","strategy"
"Which approach works best?","strategy"
"Evaluate all strategies.","strategy"
"Strategy efficiency.","strategy"
"Strategy productivity.","strategy"
"Strategy contributions.","strategy"
"Which makes most money?","strategy"
"Highest profit strategy.","strategy"
"Lowest loss strategy.","strategy"
"Strategy net profit.","strategy"
"Strategy gross returns.","strategy"
"Strategy consistency.","strategy"
"Most consistent strategy.","strategy"
